year,round_no,college_code,college_name,branch,category,closing_rank
2025,1,E039,"Dayananda Sagar Academy of Technology & Management-Kanakapura Main
Road, Bengaluru",B.ARCH,GM,479.0
2025,1,E039,"Dayananda Sagar Academy of Technology & Management-Kanakapura Main
Road, Bengaluru",B.ARCH,KKR,
2025,1,E054,"GSSS School of Architecture for Women-K R S Road, Mysuru",B.ARCH,GM,191.0
2025,1,E054,"GSSS School of Architecture for Women-K R S Road, Mysuru",B.ARCH,KKR,
2025,1,E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",B.ARCH,GM,480.0
2025,1,E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",B.ARCH,KKR,
2025,1,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",B.ARCH,GM,332.0
2025,1,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",B.ARCH,KKR,
2025,1,E138,"Srinivas Institute of Technology-GHS Road, Mangaluru",B.ARCH,GM,
2025,1,E138,"Srinivas Institute of Technology-GHS Road, Mangaluru",B.ARCH,KKR,
2025,1,E163,"SJB School of Architecture & Planning-Kengeri, Bengaluru",B.ARCH,GM,454.0
2025,1,E163,"SJB School of Architecture & Planning-Kengeri, Bengaluru",B.ARCH,KKR,
2025,1,E164,"Reva University-Yelahanka, Bengaluru",B.ARCH,GM,472.0
2025,1,E164,"Reva University-Yelahanka, Bengaluru",B.ARCH,KKR,
2025,1,E168,"Mysore School of Architecture-Lingambudi, Mysuru",B.ARCH,GM,418.0
2025,1,E168,"Mysore School of Architecture-Lingambudi, Mysuru",B.ARCH,KKR,
2025,1,E175,"Gopalan School of Architecture and Planning-Hoodi, Bengaluru",B.ARCH,GM,
2025,1,E175,"Gopalan School of Architecture and Planning-Hoodi, Bengaluru",B.ARCH,KKR,
2025,1,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",B.ARCH,GM,214.0
2025,1,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",B.ARCH,KKR,
2025,1,E178,"Wadiyar Centre for Architecture-Chamaraja Mohalla, Mysuru",B.ARCH,GM,386.0
2025,1,E178,"Wadiyar Centre for Architecture-Chamaraja Mohalla, Mysuru",B.ARCH,KKR,
2025,1,E181,"Beary's Enviro-Architecture Design School-Near Mangalore University,
Mangaluru",B.ARCH,GM,
2025,1,E181,"Beary's Enviro-Architecture Design School-Near Mangalore University,
Mangaluru",B.ARCH,KKR,
2025,1,E189,"B M S College of Architecture, Design and Planning-Bull Temple Road, Bengaluru",B.ARCH,GM,157.0
2025,1,E189,"B M S College of Architecture, Design and Planning-Bull Temple Road, Bengaluru",B.ARCH,KKR,278.0
2025,1,E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",B.ARCH,GM,439.0
2025,1,E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",B.ARCH,KKR,
2025,1,E193,"Dayananda Sagar College of Architecture-Kumaraswamy Layout, Bengaluru",B.ARCH,GM,475.0
2025,1,E193,"Dayananda Sagar College of Architecture-Kumaraswamy Layout, Bengaluru",B.ARCH,KKR,
2025,1,E213,"Poojya Dr. Shivakumar Swamiji School of Architecture- Aiwan-E-Shahi Area,
Kalaburagi",B.ARCH,GM,
2025,1,E213,"Poojya Dr. Shivakumar Swamiji School of Architecture- Aiwan-E-Shahi Area,
Kalaburagi",B.ARCH,KKR,
2025,1,E189,"B M S College of Architecture, Design and Planning-Bull Temple Road, Bengaluru",B.ARCH,GM,
2025,1,E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",B.ARCH,GM,
2025,2,E002,"Acharya's NRV School of Architecture-Soladevanahalli, Bengaluru",B.ARCH,GM,
2025,2,E008,"Angadi School of Architecture-Savagaon Road, Belagavi",B.ARCH,GM,
