College Name,College Code,Location,Course,Course Code,Seat Category,Closing_Rank,Predicted_Closing_Rank
"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",E060,BENGALURU,AS-Aerospace Engineering,AS,GM,107604,60821
JSS Science and Technology University-Mysuru,Unknown,Unknown,AS-Aerospace Engineering,AS,GM,26486,60735
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,AS-Aerospace Engineering,AS,GM,3030,59873
"Maharaja Institute of Technology-Belawadi, Mandya",E078,MANDYA,AS-Aerospace Engineering,AS,GM,102839,59700
"P.E.S.College of Engineering-PES College Road, Mandya",E089,MANDYA,AS-Aerospace Engineering,AS,GM,92865,59355
"SJB Institute of Technology-Kengeri, Bengaluru",E107,BENGALURU,AS-Aerospace Engineering,AS,GM,94373,58493
"SDM College of Engineering and Technology, Tulu Minority-Kalaghatagi, Dharwad",Unknown,Unknown,AS-Aerospace Engineering,AS,GM,79990,58665
"Siddaganga Institute of Technology-B H Road, Tumakuru",E125,TUMAKURU,AS-Aerospace Engineering,AS,GM,27637,58062
"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",E126,BENGALURU,AS-Aerospace Engineering,AS,GM,53985,57975
"Reva University-Yelahanka, Bengaluru",E164,BENGALURU,AS-Aerospace Engineering,AS,GM,81333,58752
"Presidency University-Yelahanka, Bengaluru",E173,BENGALURU,AS-Aerospace Engineering,AS,GM,51906,59183
"M.S. Ramaiah University of Applied Sciences-MSR Nagar, Bengaluru",E197,BENGALURU,AS-Aerospace Engineering,AS,GM,39103,59786
"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",E060,BENGALURU,AS-Aerospace Engineering,AS,GM,100246,60821
